name,SALE,price(Rub),available_sizes(EU),img,link
Travis Scott x Air Jordan 1 Low Black Phantom,NO,89900 - 119700,"37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46, 47.5",https://kicksmania.ru/wp-content/uploads/2022/12/air-jordan-1-low-x-travis-scott-black-phantom-730x438.jpg,https://kicksmania.ru/product/travis-scott-x-air-jordan-1-low-black-phantom/
Air Jordan 1 Retro High OG «Palomino»,NO,47900,"42, 42.5, 43, 45, 46",https://kicksmania.ru/wp-content/uploads/2023/09/mainjpal-730x438.png,https://kicksmania.ru/product/air-jordan-1-retro-high-og-palomino/
Air Ship Every Game,NO,29900,"37.5, 38, 42, 43, 45, 46",https://kicksmania.ru/wp-content/uploads/2023/11/jegmain-730x438.png,https://kicksmania.ru/product/air-ship-every-game/
Air Ship Every Game Dune Red,NO,29900,"38, 38.5, 39, 40, 40.5, 41, 42, 43, 44, 45, 46",https://kicksmania.ru/wp-content/uploads/2023/11/airshipmain1-730x438.png,https://kicksmania.ru/product/air-ship-every-game-dune-red/
Air Ship White Grey,NO,29900,"37.5, 38, 38.5, 39, 40, 40.5, 42, 43, 44, 44.5, 45, 45.5, 46",https://kicksmania.ru/wp-content/uploads/2023/11/jgreymain-730x438.png,https://kicksmania.ru/product/air-ship-white-grey/
Born x Raised x Nike SB Dunk Low,NO,104900,41,https://kicksmania.ru/wp-content/uploads/2023/11/bornmain-730x438.png,https://kicksmania.ru/product/born-x-raised-x-nike-sb-dunk-low/
Clot x Air Jordan 1 Mid Fearless Edison Silk,NO,69900,43,https://kicksmania.ru/wp-content/uploads/2023/11/jordanclotmain-730x438.png,https://kicksmania.ru/product/clot-x-air-jordan-1-mid-fearless-edison-silk/
Clot x Dunk Low Cork,NO,59900,40,https://kicksmania.ru/wp-content/uploads/2023/11/corkmain-730x438.png,https://kicksmania.ru/product/clot-x-dunk-low-cork/
Clot x Fragment x Nike Air Force Black Red,NO,74900,42.5,https://kicksmania.ru/wp-content/uploads/2023/11/clotforcemain-730x438.png,https://kicksmania.ru/product/clot-x-fragment-x-nike-air-force-black-red/
Dunk Low SB Orange Emerald Rise,NO,34900,"40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45.5, 46",https://kicksmania.ru/wp-content/uploads/2023/11/emeraldmain-730x438.png,https://kicksmania.ru/product/dunk-low-sb-orange-emerald-rise/
Dunk SB Low Court Purple,NO,72900,45.5,https://kicksmania.ru/wp-content/uploads/2023/11/prplmain-730x438.png,https://kicksmania.ru/product/dunk-sb-low-court-purple/
Dunk SB Low Mystic Red Rosewood,NO,34900,"37.5, 40.5, 41, 42, 43",https://kicksmania.ru/wp-content/uploads/2023/11/r0sewoodmain-730x438.png,https://kicksmania.ru/product/dunk-sb-low-mystic-red-rosewood/
Dunk SB Low Sean Cliver,NO,119900,44,https://kicksmania.ru/wp-content/uploads/2023/11/seanmain-730x438.png,https://kicksmania.ru/product/dunk-sb-low-sean-cliver/
Facetasm x Air Jordan 1 Mid Fearless,NO,72900,43,https://kicksmania.ru/wp-content/uploads/2023/11/jordmain-730x438.png,https://kicksmania.ru/product/facetasm-x-air-jordan-1-mid-fearless/
Nike SB Dunk High Sweet Tooth Candy Corn,NO,32900,"42, 43, 44.5",https://kicksmania.ru/wp-content/uploads/2023/11/sweetmain-730x438.png,https://kicksmania.ru/product/nike-sb-dunk-high-sweet-tooth-candy-corn/
