name,SALE,price(Rub),available_sizes(EU),img,link
Air Jordan 1 High Denim,NO,38300,"35.5, 36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5",https://kicksmania.ru/wp-content/uploads/2022/09/air-jordan-1-high-denim-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-high-denim/
Nike Dunk Low White Black,NO,22900 - 24900,"35.5, 36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46",https://kicksmania.ru/wp-content/uploads/2021/04/dunk-low-white-black-768x461.jpg,https://kicksmania.ru/product/nike-dunk-low-white-black/
Jacquemus x Nike Air Humara Bone,NO,79900 - 135870,"37.5, 38, 38.5, 39, 40, 40.5",https://kicksmania.ru/wp-content/uploads/2022/09/188-768x461.jpg,https://kicksmania.ru/product/jacquemus-x-nike-air-humara-bone/
Air Jordan 1 Low Emerald,NO,32900,"35.5, 36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46, 47, 47.5, 48, 48.5, 49, 49.5",https://kicksmania.ru/wp-content/uploads/2022/09/jordan-1-low-emerald-toe-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-low-emerald/
Ben & Jerry’s x SB Dunk Low Chunky Dunky,NO,199900,40.5,https://kicksmania.ru/wp-content/uploads/2021/04/dunk-low-chunky-dunk-korovy-768x461.png,https://kicksmania.ru/product/ben-jerrys-x-sb-dunk-low-chunky-dunky/
Chateau Rouge x Air Jordan 1 Mid Fearless,NO,89900,43,https://kicksmania.ru/wp-content/uploads/2021/04/chateau-rouge-x-air-jordan-1-mid-fearless-768x461.png,https://kicksmania.ru/product/chateau-rouge-x-air-jordan-1-mid-fearless/
Air Jordan 1 Low Shadow Toe,NO,45300,"35.5, 36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46, 47, 47.5",https://kicksmania.ru/wp-content/uploads/2022/06/air-jordan-1-low-shadow-toe-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-low-shadow-toe/
Air Jordan 1 Retro High University Blue,NO,58400 - 67300,"37.5, 38, 38.5, 39, 40, 42, 42.5, 43, 46",https://kicksmania.ru/wp-content/uploads/2021/04/jordan-1-university-blue-768x461.png,https://kicksmania.ru/product/air-jordan-1-retro-high-university-blue/
Travis Scott x Air Jordan 1 Retro Low OG SP,NO,263900,43,https://kicksmania.ru/wp-content/uploads/2021/04/travis-scott-x-jordan-1-low-768x461.png,https://kicksmania.ru/product/travis-scott-x-air-jordan-1-retro-low/
Air Jordan 1 Mid Neutral Grey,NO,28400,"41, 42, 42.5, 43, 44",https://kicksmania.ru/wp-content/uploads/2022/11/air-jordan-1-mid-neutral-grey-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-mid-neutral-grey/
Air Jordan 1 Mid Stealth,NO,31400,"36.5, 37.5, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5",https://kicksmania.ru/wp-content/uploads/2022/11/air-jordan-1-mid-stealth-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-mid-stealth/
Air Jordan 1 Retro High Hyper Royal,NO,64900 - 76900,"36.5, 37.5, 38, 38.5, 39, 40, 40.5, 42.5, 43, 44, 45, 45.5",https://kicksmania.ru/wp-content/uploads/2021/04/air-jordan-1-high-hyper-royal-768x461.png,https://kicksmania.ru/product/air-jordan-1-retro-high-hyper-royal/
Air Jordan 1 Retro High Obsidian,NO,72900,"38, 38.5",https://kicksmania.ru/wp-content/uploads/2021/04/air-jordan-1-retro-high-obsidian-768x461.png,https://kicksmania.ru/product/air-jordan-1-retro-high-obsidian/
Air Jordan 1 Retro High UNC Patent,NO,84200 - 89900,"38, 40.5, 43, 44",https://kicksmania.ru/wp-content/uploads/2021/04/air-jordan-1-retro-high-unc-patent-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-retro-high-unc-patent/
Air Jordan 3 Retro White Cement,NO,49400,"35.5, 36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5",https://kicksmania.ru/wp-content/uploads/2023/04/3-retro-main-730x438.jpg,https://kicksmania.ru/product/air-jordan-3-retro-white-cement/
Air Jordan 4 Retro Messy Room,NO,39900,"36, 38, 38.5, 39, 40",https://kicksmania.ru/wp-content/uploads/2023/11/messymain-730x438.png,https://kicksmania.ru/product/air-jordan-4-retro-messy-room/
Air Jordan 4 Retro Seafoam (W),NO,49900 - 55900,"38.5, 42, 42.5, 43, 44, 44.5",https://kicksmania.ru/wp-content/uploads/2023/11/seafom4main-730x438.png,https://kicksmania.ru/product/air-jordan-4-retro-seafoam-w/
Travis Scott x Nike SB Dunk Low,NO,259900,43,https://kicksmania.ru/wp-content/uploads/2021/04/travis-x-dunk-low-768x461.png,https://kicksmania.ru/product/travis-scott-x-nike-sb-dunk-low/
Grateful Dead x Dunk SB Low Yellow,NO,124900,43,https://kicksmania.ru/wp-content/uploads/2021/06/nike-sb-dunk-low-grateful-dead-bears-opti-yellow-768x461.jpg,https://kicksmania.ru/product/nike-sb-dunk-low-grateful-dead-bears-opti-yellow/
Why So Sad? x Dunk SB Low,NO,51900,42.5,https://kicksmania.ru/wp-content/uploads/2022/12/so-sad--730x438.jpg,https://kicksmania.ru/product/why-so-sad-x-dunk-sb-low/
Civilist x Nike SB Dunk Low,NO,140900,42.5,https://kicksmania.ru/wp-content/uploads/2021/04/civilist-x-dunk-low-768x461.png,https://kicksmania.ru/product/civilist-x-nike-sb-dunk-low/
Dior x Jordan 1 Low,NO,990000,"35.5, 36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46, 47, 47.5, 48, 48.5, 49, 49.5",https://kicksmania.ru/wp-content/uploads/2021/04/dior-x-jordan-low-768x461.png,https://kicksmania.ru/product/dior-x-jordan-1-low/
Nike SB Dunk Low Street Hawker,NO,72900 - 89900,"35.5, 36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46, 47, 47.5, 48, 48.5, 49, 49.5",https://kicksmania.ru/wp-content/uploads/2021/04/nike-sb-dunk-low-street-hawker-768x461.png,https://kicksmania.ru/product/nike-sb-dunk-low-street-hawker/
Travis Scott x Air Jordan 1 Retro High,NO,224900 - 254900,"41, 46",https://kicksmania.ru/wp-content/uploads/2021/04/travis-scott-x-air-jordan-1-retro-high-768x461.jpg,https://kicksmania.ru/product/travis-scott-x-air-jordan-1-retro-high/
Yeezy Boost 350 v2 Black Reflective,NO,100900 - 106680,"38, 44, 44.5",https://kicksmania.ru/wp-content/uploads/2021/04/yeezy-boost-350-v2-black-rf-768x461.jpg,https://kicksmania.ru/product/yeezy-boost-350-v2-black-reflective/
Air Jordan 1 Mid Signal Blue,NO,27900,"36, 36.5, 38.5, 40",https://kicksmania.ru/wp-content/uploads/2021/04/air-jordan-1-mid-signal-blue-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-mid-signal-blue/
Nike Dunk Low Ceramic,NO,55900 - 64900,"38, 42, 42.5, 43, 45.5",https://kicksmania.ru/wp-content/uploads/2021/04/nike-dunk-low-ceramic-2020-768x461.png,https://kicksmania.ru/product/nike-dunk-low-ceramic/
Yeezy Boost 350 v2 Core,NO,51800,"36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 46, 46.5, 47, 48, 48.5, 49, 50, 50.5",https://kicksmania.ru/wp-content/uploads/2023/01/yeezy-350-red-730x438.jpg,https://kicksmania.ru/product/yeezy-boost-350-v2-core/
Air Jordan 1 Retro High Fearless UNC Chicago,NO,69900,"42, 43",https://kicksmania.ru/wp-content/uploads/2021/04/jordan-1-retro-high-fearless-unc-chicago-768x461.png,https://kicksmania.ru/product/air-jordan-1-fearless-unc-chicago-patent/
NB 550 White Green,NO,34900,"35.5, 36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46, 47, 47.5, 48, 48.5, 49, 49.5",https://kicksmania.ru/wp-content/uploads/2022/08/nb-550-white-green-768x461.jpg,https://kicksmania.ru/product/nb-550-white-green/
Air Jordan 1 Mid All-Star,NO,44800 - 47100,"36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46, 47, 47.5, 48, 48.5",https://kicksmania.ru/wp-content/uploads/2021/04/jordan-1-mid-all-star-768x461.png,https://kicksmania.ru/product/air-jordan-1-mid-all-star/
Air Jordan 1 Mid Ice Cream,NO,28900,"37.5, 38, 40",https://kicksmania.ru/wp-content/uploads/2021/04/jordan-1-mid-paint-drip-768x461.png,https://kicksmania.ru/product/air-jordan-1-mid-ice-cream-drip/
Nike Air Force 1 Low Black,NO,20900,"35.5, 36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46",https://kicksmania.ru/wp-content/uploads/2022/11/nike-air-force-1-low-black-768x461.jpg,https://kicksmania.ru/product/nike-air-force-1-low-black/
Adidas Campus 80s Youth of Paris Crystal White,YES,64900 - 27900,"41 1/3, 43 1/3",https://kicksmania.ru/wp-content/uploads/2023/07/yof-main-730x438.jpg,https://kicksmania.ru/product/adidas-campus-80s-youth-of-paris-crystal-white/
Off-White x Air Jordan 4 Retro Sail,NO,None,None,https://kicksmania.ru/wp-content/uploads/2021/04/off-white-x-jordan-4-sail-768x461.png,https://kicksmania.ru/product/off-white-x-jordan-4-sail/
Louis Vuitton x Air Force 1 Low Red,NO,699000,"36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46, 47, 47.5, 48, 48.5, 49, 49.5",https://kicksmania.ru/wp-content/uploads/2022/07/by-virgil-abloh-white-red-768x461.jpg,https://kicksmania.ru/product/louis-vuitton-nike-air-force-1-low-by-virgil-abloh-white-red/
Jacquemus x Nike Air Humara Brown,NO,61740 - 90195,"37.5, 38, 38.5, 39, 40, 40.5",https://kicksmania.ru/wp-content/uploads/2022/09/189-768x461.jpg,https://kicksmania.ru/product/jacquemus-x-nike-air-humara-ale-brown-gold/
Air Jordan 1 Retro High Reverse Laney,NO,36900,"36.5, 38, 38.5, 39, 40.5, 42, 42.5, 43, 44, 44.5, 45",https://kicksmania.ru/wp-content/uploads/2023/04/laney-main-730x438.jpg,https://kicksmania.ru/product/air-jordan-1-retro-high-og-reverse-laney/
Air Jordan 1 Retro High Twist,NO,37100,"37.5, 38.5, 39, 40",https://kicksmania.ru/wp-content/uploads/2023/04/twist-main-730x438.jpg,https://kicksmania.ru/product/air-jordan-1-retro-high-og-twist-2-0/
Nike Dunk Low SP City Market,NO,57900,42,https://kicksmania.ru/wp-content/uploads/2021/04/nike-dunk-low-sp-city-market-768x461.png,https://kicksmania.ru/product/nike-dunk-low-sp-city-market/
Yeezy Boost 350 v2 Ash Pearl,NO,55900,36.5,https://kicksmania.ru/wp-content/uploads/2021/04/yeezy-350-v2-ash-pearl-768x461.png,https://kicksmania.ru/product/yeezy-boost-350-v2-ash-pearl/
Yeezy Boost 350 v2 Bred,NO,53900 - 66900,"36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 46, 46.5",https://kicksmania.ru/wp-content/uploads/2021/04/yeezy-boost-350-v2-bred-768x461.png,https://kicksmania.ru/product/yeezy-boost-350-v2-bred/
Louis Vuitton x Air Force 1 Low Green,NO,699000,40,https://kicksmania.ru/wp-content/uploads/2022/07/louis-vuitton-nike-air-force-1-low-by-virgil-abloh-white-green-768x461.jpg,https://kicksmania.ru/product/louis-vuitton-nike-air-force-1-low-by-virgil-abloh-white-green/
Travis Scott x Air Max 1 Baroque Brown,NO,51765 - 77595,"36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46, 47.5",https://kicksmania.ru/wp-content/uploads/2022/06/travis-scott-x-nike-air-max-1-22baroque-brown22-768x461.jpg,https://kicksmania.ru/product/travis-scott-x-nike-air-max-1-baroque-brown/
Adidas Adilette 22 Desert Sand,NO,21900 - 23900,"37, 38, 39, 40.5, 42, 43, 44.5, 46, 47",https://kicksmania.ru/wp-content/uploads/2022/06/adilette-22-768x461.jpg,https://kicksmania.ru/product/adidas-adilette-22-desert-sand/
Air Jordan 1 Low Washed Denim,NO,31900,"36.5, 37.5, 38, 38.5, 39, 40",https://kicksmania.ru/wp-content/uploads/2022/06/snimok-ekrana-2023-11-03-v-17.57.44-730x419.png,https://kicksmania.ru/product/jordan-1-low-washed-denim/
Air Jordan 1 Mid Invert,NO,35910,"35.5, 36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5",https://kicksmania.ru/wp-content/uploads/2022/08/aj1-mid-homage-blackwhite-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-mid-homage-black-white/
Yeezy 700 v3 Safflower,NO,56070,38,https://kicksmania.ru/wp-content/uploads/2021/04/yeezy-700-v3-sufflower-768x461.png,https://kicksmania.ru/product/yeezy-700-v3-safflower/
Louis Vuitton x Air Force 1 Low Metallic Gold,NO,1235700,40,https://kicksmania.ru/wp-content/uploads/2022/07/by-virgil-abloh-metallic-gold-768x461.jpg,https://kicksmania.ru/product/louis-vuitton-nike-air-force-1-low-by-virgil-abloh-metallic-gold/
Yeezy Boost 350 v2 Bone,NO,64900,37.5,https://kicksmania.ru/wp-content/uploads/2022/06/yeezy-boost-350-v2-bone-1-768x461.jpg,https://kicksmania.ru/product/yeezy-boost-350-v2-bone/
Yeezy Boost 350 v2 Zyon,NO,39900 - 65900,"36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 46, 46.5, 47, 48, 48.5, 49, 50, 50.5",https://kicksmania.ru/wp-content/uploads/2021/04/adidas-yeezy-boost-350-v2-zyon-768x461.png,https://kicksmania.ru/product/yeezy-boost-350-v2-zyon/
Air Jordan 1 Low Arctic Pink,NO,37900 - 39900,"35.5, 36, 36.5, 37.5, 38, 38.5, 39, 40",https://kicksmania.ru/wp-content/uploads/2022/05/air-jordan-1-low-light-arctic-pink-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-low-arctic-pink/
Yeezy 500 Ash Grey,NO,55500,37.5,https://kicksmania.ru/wp-content/uploads/2022/10/yeezy-500-ash-grey-768x461.jpg,https://kicksmania.ru/product/yeezy-500-ash-grey/
Air Jordan 1 Mid Berry,NO,34900 - 37900,"35.5, 36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5",https://kicksmania.ru/wp-content/uploads/2022/05/jordan-1-mid-berry-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-mid-berry/
Louis Vuitton x Air Force 1 Low Royal,NO,None,None,https://kicksmania.ru/wp-content/uploads/2022/07/by-virgil-abloh-white-royal-768x461.jpg,https://kicksmania.ru/product/louis-vuitton-nike-air-force-1-low-by-virgil-abloh-white-royal/
Air Jordan 1 Low Barcelona,NO,31300,"35.5, 36, 36.5, 37.5, 38, 38.5, 39, 40",https://kicksmania.ru/wp-content/uploads/2021/12/air-jordan-1-low-barcelona-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-low-barcelona/
Air Force 1 Low White Kids,NO,17900,27,https://kicksmania.ru/wp-content/uploads/2022/11/af1-low-white--768x461.jpg,https://kicksmania.ru/product/air-force-1-low-white-kids/
Air Jordan 1 Mid UNC,NO,35600,"36.5, 37.5, 38, 38.5, 39, 40, 40.5",https://kicksmania.ru/wp-content/uploads/2022/05/jordan-1-mid-unc-2022-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-mid-unc-2/
Air Jordan 1 High Heritage Kids,NO,29900,"21, 27, 32",https://kicksmania.ru/wp-content/uploads/2022/11/aj1-h-heritage-kids-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-high-heritage-kids/
Air Jordan 4 Retro SE Black Canvas,NO,58200,43,https://kicksmania.ru/wp-content/uploads/2022/12/air-jordan-4-retro-se-22black-canvas22-730x438.jpg,https://kicksmania.ru/product/air-jordan-4-retro-se-black-canvas/
Air Jordan 1 High Satin Snake Kids,NO,39900,"17, 18.5, 19.5, 21, 22, 23.5, 25, 26, 27, 28, 28.5, 29.5, 30, 31, 31.5, 32, 33, 33.5, 34, 35",https://kicksmania.ru/wp-content/uploads/2022/11/aj1-h-satin-snake--768x461.jpg,https://kicksmania.ru/product/air-jordan-1-high-satin-snake-kids/
Air Jordan 6 x Travis Scott British Khaki Kids,NO,37900,26,https://kicksmania.ru/wp-content/uploads/2022/11/aj6-x-travis-scott-british-khaki-9s-768x461.jpg,https://kicksmania.ru/product/air-jordan-6-x-travis-scott-british-khaki-kids/
Air Jordan 1 High Seafoam Kids,NO,29900,28,https://kicksmania.ru/wp-content/uploads/2022/11/aj1-h-seafoam-gs-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-high-seafoam-kids/
Concepts X Dunk SB Green Lobster,NO,170600,43,https://kicksmania.ru/wp-content/uploads/2022/12/concepts-x-nike-sb-dunk-lobster-green-730x438.jpg,https://kicksmania.ru/product/concepts-x-dunk-sb-green-lobster/
Concepts X Dunk SB Purple Lobster,NO,142100,"35.5, 36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46, 47, 47.5, 48, 48.5, 49, 49.5",https://kicksmania.ru/wp-content/uploads/2022/12/nike-sb-dunk-lobster-purple-730x438.jpg,https://kicksmania.ru/product/concepts-x-dunk-sb-purple-lobster/
New Balance 550 White University Blue,NO,24900,"36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46",https://kicksmania.ru/wp-content/uploads/2022/06/new-balance-550-unc-white-university-blue-768x461.jpg,https://kicksmania.ru/product/new-balance-550-unc-white-university-blue/
Travis Scott x Air Jordan 1 Low Reverse Mocha Kids,NO,41900 - 49900,"19.5, 21, 22, 23.5, 25, 26, 27",https://kicksmania.ru/wp-content/uploads/2022/10/travis-scott-x-air-jordan-1-low-og-ps-reverse-mocha1-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-low-x-travis-scott-reverse-mocha-kids/
Union LA x Air Jordan 1 Retro High NRG ‘Black Toe’,NO,255885,43,https://kicksmania.ru/wp-content/uploads/2022/09/union-la-x-air-jordan-1-retro-high-nrg-black-toe--768x461.jpg,https://kicksmania.ru/product/union-la-x-air-jordan-1-retro-high-nrg-black-toe/
AJ1 H A Ma Maniere kids,NO,37900,28,https://kicksmania.ru/wp-content/uploads/2022/11/aj1-h-a-ma-maniere-ps-768x461.jpg,https://kicksmania.ru/product/aj1-h-a-ma-maniere-kids/
AJ1 H Atmosphere Kids,NO,37900,"22, 31.5",https://kicksmania.ru/wp-content/uploads/2022/11/aj1-h-atmosphere-768x461.jpg,https://kicksmania.ru/product/aj1-h-atmosphere-kids/
Aj1 H Bred Patent Kids,NO,37900,"17, 18.5, 19.5, 21, 22, 23.5, 25, 26, 27, 28, 28.5, 29.5, 30, 31, 31.5, 32, 33, 33.5, 34, 35",https://kicksmania.ru/wp-content/uploads/2022/11/aj1-h-bred-patent-kids-768x461.jpg,https://kicksmania.ru/product/aj1-h-bred-patent-kids/
Air Jordan 1 Retro High Marina Blue Kids,NO,32900,"19.5, 21, 22, 25",https://kicksmania.ru/wp-content/uploads/2022/11/aj1-h-marina-blue-kids-768x461.jpg,https://kicksmania.ru/product/aj1-h-marina-blue-kids/
Air Jordan 1 Retro High Reverse Shattered,NO,114900,40,https://kicksmania.ru/wp-content/uploads/2022/10/aj1-retro-high-reverse-shattered-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-retro-high-reverse-shattered/
Aj1 H University Blue Kids,NO,31500,18.5,https://kicksmania.ru/wp-content/uploads/2022/11/aj1-h-university-blue-kids-768x461.jpg,https://kicksmania.ru/product/aj1-h-university-blue-kids/
Louis Vuitton x Air Force 1 Low White,NO,None,None,https://kicksmania.ru/wp-content/uploads/2022/07/louis-vuitton-x-air-force-1-low-white-768x461.jpg,https://kicksmania.ru/product/louis-vuitton-nike-air-force-1-low-by-virgil-abloh-white/
Union LA x Air Jordan 1 Retro High NRG ‘Storm Blue’,NO,229900,43,https://kicksmania.ru/wp-content/uploads/2022/09/union-la-x-air-jordan-1-retro-high-nrg-storm-blue-768x461.jpg,https://kicksmania.ru/product/union-la-x-air-jordan-1-retro-high-nrg-storm-blue/
Air Jordan 1 High Gore-Tex Grey,NO,44900 - 47900,"35.5, 36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46, 47, 47.5, 48, 48.5, 49, 49.5",https://kicksmania.ru/wp-content/uploads/2022/11/air-jordan-1-high-element-gore-tex-particle-grey-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-high-gore-tex-grey/
Air Jordan 1 High Gore-Tex Light Bone,NO,44900 - 54900,"40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46, 47, 47.5, 48, 48.5, 49.5",https://kicksmania.ru/wp-content/uploads/2021/12/jordan-1-high-element-gore-tex-light-bone-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-high-gore-tex-light-bone/
Air Jordan 1 Low Vintage Grey,NO,39500,"35.5, 36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46, 47, 47.5",https://kicksmania.ru/wp-content/uploads/2022/06/air-jordan-1-low-vintage-grey-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-low-vintage-grey/
Air Jordan 1 Retro High Visionaire,NO,41160,"36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46, 47, 47.5, 48, 48.5, 49, 49.5",https://kicksmania.ru/wp-content/uploads/2022/08/aj1-h-visionaire-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-high-visionaire/
Drake x Air Force 1 Low White NOCTA,NO,59900,43,https://kicksmania.ru/wp-content/uploads/2023/03/af1-nocta-main-730x438.png,https://kicksmania.ru/product/drake-x-air-force-1-low-white-nocta/
New Balance 550 Purple White,NO,34900,"36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46",https://kicksmania.ru/wp-content/uploads/2022/06/new-balance-550-purple-768x461.jpg,https://kicksmania.ru/product/new-balance-550-purple-white/
Off-White x Air Jordan 1 High UNC,NO,219900,39,https://kicksmania.ru/wp-content/uploads/2021/06/off-white-x-jordan-1-high-unc-768x461.png,https://kicksmania.ru/product/off-white-x-air-jordan-1-high-unc/
Air Jordan 1 Retro High Heritage,NO,37600 - 43200,"36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46, 47, 47.5",https://kicksmania.ru/wp-content/uploads/2022/05/jordan-1-retro-high-og-heritage-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-retro-high-heritage/
Travis Scott x Fragment x Air Jordan 1 Low,NO,209900 - 284200,"38, 38.5, 43, 46",https://kicksmania.ru/wp-content/uploads/2021/08/travis-scott-x-fragment-x-air-jordan-low-768x461.jpg,https://kicksmania.ru/product/travis-scott-x-fragment-x-air-jordan-1-low/
Air Jordan 1 Retro High Mocha,NO,87900,"35.5, 36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46, 47, 47.5, 48, 48.5, 49",https://kicksmania.ru/wp-content/uploads/2021/12/dark-mocha-jordan-1-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-retro-high-dark-mocha-2/
Ishod Wair x Magnus Walker x Nike SB Dunk High,NO,59900 - 82900,"41, 43",https://kicksmania.ru/wp-content/uploads/2021/07/nike-dunk-sb-high-pro-ishod-wair-x-magnus-walker-768x461.jpg,https://kicksmania.ru/product/nike-dunk-sb-high-pro-ishod-wair-x-magnus-walker/
Air Jordan 1 High OG True Blue,NO,34900,"35.5, 36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46, 47, 47.5, 48, 48.5, 49, 49.5, 50.5, 51.5, 52.5",https://kicksmania.ru/wp-content/uploads/2023/02/trueblueprevyu-730x438.jpg,https://kicksmania.ru/product/air-jordan-1-high-og/
Air Jordan 1 Retro High Brotherhood,NO,40800,"36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46, 47, 47.5, 48, 48.5, 49, 49.5",https://kicksmania.ru/wp-content/uploads/2022/03/aj1-h-brotherhood-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-retro-high-brotherhood/
Off-White x Air Jordan 1 Retro Chicago,NO,799900,43,https://kicksmania.ru/wp-content/uploads/2022/06/aj1-h-x-off-white-chicago--768x461.jpg,https://kicksmania.ru/product/off-white-x-air-jordan-1-retro-chicago/
Air Jordan 1 Low Bleached Coral,NO,35910,"37.5, 39, 40",https://kicksmania.ru/wp-content/uploads/2022/06/aj-1-low-og-bleached-coral--768x461.jpg,https://kicksmania.ru/product/aj-1-low-og-bleached-coral/
A Ma Maniere x Air Jordan 3,NO,68500,38,https://kicksmania.ru/wp-content/uploads/2022/11/aj3-x-a-ma-maniere-7usw-768x461.jpg,https://kicksmania.ru/product/air-jordan-3-x-a-ma-maniere/
Air Jordan 1 High Gore-Tex Berry,NO,34900 - 39900,"40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46, 47, 47.5, 48, 48.5, 49.5",https://kicksmania.ru/wp-content/uploads/2022/09/air-jordan-1-high-gore-tex-berry-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-high-gore-tex-berry/
Air Jordan 1 Low Dark Mocha,NO,None,None,https://kicksmania.ru/wp-content/uploads/2022/03/jordan-krossovki-jordan-1-low-mocha-brown-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-low-mocha-brown/
Air Jordan 1 Low Homage,NO,31395,"35.5, 36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5",https://kicksmania.ru/wp-content/uploads/2022/08/aj1-low-homage-blackwhite--768x461.jpg,https://kicksmania.ru/product/air-jordan-1-low-homage-black-white/
Air Jordan 1 Low Pinksicle,NO,34545,"35.5, 36, 36.5, 37.5, 38, 38.5, 39, 40",https://kicksmania.ru/wp-content/uploads/2022/09/aj1-low-pinksicle-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-low-pinksicle/
Air Jordan 1 Mid Black + Red = Bred,NO,24255,"36.5, 37.5, 38, 38.5, 39, 40",https://kicksmania.ru/wp-content/uploads/2022/06/aj1-mid-blackredbred-1-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-mid-black-red-bred/
Air Jordan 1 Retro High Atmosphere,NO,42600,"36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5",https://kicksmania.ru/wp-content/uploads/2021/12/jordan-1-retro-high-atmosphere-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-retro-high-atmosphere/
