name,SALE,price(Rub),available_sizes(EU),img,link
Лонгслив Supreme SMALL BOX Bright Olive,NO,21900,None,https://kicksmania.ru/wp-content/uploads/2023/12/supsmolivemain-730x438.png,https://kicksmania.ru/product/longsliv-supreme-small-box-bright-olive/
Лонгслив Supreme SMALL BOX Bright Purple,NO,21900,None,https://kicksmania.ru/wp-content/uploads/2023/12/supsmbpmain-730x438.png,https://kicksmania.ru/product/longsliv-supreme-small-box-bright-purple/
Лонгслив Supreme SMALL BOX White,NO,21900,None,https://kicksmania.ru/wp-content/uploads/2023/12/supsmwhmain-730x438.png,https://kicksmania.ru/product/longsliv-supreme-small-box-white/
Футболка Air Jordan Flight Essentials Cream,YES,19900 - 14925,None,https://kicksmania.ru/wp-content/uploads/2023/10/mainjordflightt-730x438.png,https://kicksmania.ru/product/futbolka-air-jordan-flight-essentials-cream/
Футболка Air Jordan Flight MVP Tee Dark Biege,YES,19900 - 14925,None,https://kicksmania.ru/wp-content/uploads/2023/10/mainjordanbiege-730x438.png,https://kicksmania.ru/product/futbolka-air-jordan-flight-mvp-tee-dark-biege/
Футболка Air Jordan Graphic Light Blue,YES,19900 - 14925,None,https://kicksmania.ru/wp-content/uploads/2023/10/mainj-730x438.png,https://kicksmania.ru/product/futbolka-air-jordan-graphic-light-blue/
Футболка Air Jordan Men’s Graphic Black Red,YES,19900 - 14925,None,https://kicksmania.ru/wp-content/uploads/2023/10/mainjgraphik-730x438.png,https://kicksmania.ru/product/futbolka-air-jordan-mens-graphic-black-red/
The North Face Sherpa Nuptse Sand,NO,57900,"S, M, L, XL",https://kicksmania.ru/wp-content/uploads/2022/12/sherpa-nuptse-jacket-22sand22-730x438.jpg,https://kicksmania.ru/product/the-north-face-sherpa-nuptse-sand/
Fear of God Essentials Tee Dusty Beige,NO,22400,"XS, S, M, L, XL",https://kicksmania.ru/wp-content/uploads/2023/07/fogdbmain-730x438.png,https://kicksmania.ru/product/fear-of-god-essentials-tee-dusty-beige/
Drew House Mascot Tee Dark Navy,NO,21900,None,https://kicksmania.ru/wp-content/uploads/2023/08/drewnavymain-730x438.png,https://kicksmania.ru/product/drew-house-mascot-tee-dark-navy/
Футболка Air Jordan T-Shirt Girlfriend Blue,NO,19900,None,https://kicksmania.ru/wp-content/uploads/2023/10/mainmj-730x438.png,https://kicksmania.ru/product/futbolka-air-jordan-t-shirt-girlfriend-blue/
Футболка Air Jordan T-Shirt Girlfriend White,NO,19900,None,https://kicksmania.ru/wp-content/uploads/2023/10/mainmjw-730x438.png,https://kicksmania.ru/product/futbolka-air-jordan-t-shirt-girlfriend-white/
Travis Scott x Jordan Woven Jacket Black,NO,55600,"M, L",https://kicksmania.ru/wp-content/uploads/2023/04/jacket-main-730x438.png,https://kicksmania.ru/product/travis-scott-x-jordan-woven-jacketblack/
Bape Light Blue Tee Pigment Ape Logo,NO,23900,"S, M, L, XL",https://kicksmania.ru/wp-content/uploads/2023/04/bape-blue-tee-main-730x438.png,https://kicksmania.ru/product/bape-light-blue-tee-pigment-ape-logo/
Bape Light Green Tee Shark Logo,NO,23900,"S, M, L, XL",https://kicksmania.ru/wp-content/uploads/2023/04/bape-green-tee-main-730x438.png,https://kicksmania.ru/product/bape-light-green-tee-pigment-shark-logo/
Bape White Tee Pigment Ape Logo,NO,23900,"S, M, L, XL",https://kicksmania.ru/wp-content/uploads/2023/04/bape-white-tee-main-730x438.png,https://kicksmania.ru/product/bape-white-tee-pigment-ape-logo/
Jacquemus Le T-shirt Desenho White,NO,27900,M,https://kicksmania.ru/wp-content/uploads/2023/08/main1-1-730x438.png,https://kicksmania.ru/product/jacquemus-le-t-shirt-desenho-white/
Jacquemus Le T-shirt Logo T-shirt Brown,NO,21900,S,https://kicksmania.ru/wp-content/uploads/2023/08/main1-730x438.png,https://kicksmania.ru/product/jacquemus-le-t-shirt-logo-t-shirt-brown/
Fear of God Essentials Hoodie Cream,NO,42600 - 45600,"S, M, L, XL",https://kicksmania.ru/wp-content/uploads/2021/07/fear-of-god-essentials-pull-over-hoodie-ss21-creambuttercream-spina-768x461.jpg,https://kicksmania.ru/product/fear-of-god-essentials-pull-over-hoodie-ss21-cream-buttercream/
Jacquemus Le T-shirt Logo T-shirt Dark Navy,NO,21900,L,https://kicksmania.ru/wp-content/uploads/2023/08/main-1-730x438.png,https://kicksmania.ru/product/jacquemus-le-t-shirt-logo-t-shirt-dark-navy/
Комплект Jordan Flight MVP Short Set Orange / Blue,NO,9900,None,https://kicksmania.ru/wp-content/uploads/2023/04/set-main-730x438.jpg,https://kicksmania.ru/product/komplekt-jordan-flight-mvp-short-set-orange-blue/
